"cim","price","infosor","felszereltseg","diler","link","leiras"
"BMW X3 xDrive20d (Automata) Mo-i. szervizk..garancia","7.390.000 Ft","? km-re  ·  2011/11  ·  Dízel  ·  1995 cm³  ·  135 kW (184 LE)  ·  83 959 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/bmw/x3/bmw_x3_xdrive20d_automata_mo-i._szervizk..garancia-12125424","
						Az autó megtekinthető nyitvatartási időben a Wallis Motor Duna Kft telephelyén. Friss n... (hirdetéskód: 12125424)
					"
"MERCEDES-BENZ A 180 d AMG Line Mo-i vezetett szervizkönyv","7.390.000 Ft","? km-re  ·  2016/4  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  22 950 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#SPORTFUTÓMŰ#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_amg_line_mo-i_vezetett_szervizkonyv-11546397","
						Mercedes márkakereskedésből, AMG kivitel, Night csomag, üléskomfort csomag, tükör csoma... (hirdetéskód: 11546397)
					"
"VOLVO V60 2.0 D [D2] Ocean Race","7.390.000 Ft","? km-re  ·  2016/3  ·  Dízel  ·  1969 cm³  ·  88 kW (120 LE)  ·  25 000 km","GARANCIÁLIS","","https://www.hasznaltauto.hu/auto/volvo/v60/volvo_v60_2.0_d_d2_ocean_race-10147912","
						Új 2.0 literes diesel motrral, 120Le (280NM), ABS, EBD, DSTC, 6 légzsák, kikapcsolható... (hirdetéskód: 10147912)
					"
"MERCEDES-BENZ A 200 d Urban M.o.-i. 1. tulajdonostól","7.450.000 Ft","? km-re  ·  2016/2  ·  Dízel  ·  2143 cm³  ·  100 kW (136 LE)  ·  14 200 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_200/mercedes-benz_a_200_d_urban_m.o.-i._1._tulajdonostol-11931486","
						 (hirdetéskód: 11931486)
					"
"MERCEDES-BENZ A 180 d Style 7G-DCT BÉRELHETŐ","7.483.964 Ft","? km-re  ·  2016/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  16 000 km","GARANCIÁLIS#BÉRELHETŐ#TEMPOMAT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_style_7g-dct_berelheto-12070178","
						Park Pilot, Multifunkciós bőrkormány, 7G-DCT - 7-fokozatú automataváltó, Audi 20 CD Gar... (hirdetéskód: 12070178)
					"
"KIA OPTIMA 1.7 CRDI EX Prémium DCT BEMUTATÓAUTÓ !","7.490.000 Ft","? km-re  ·  2016/1  ·  Dízel  ·  1685 cm³  ·  104 kW (141 LE)  ·  27 117 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#TEMPOMAT#ÜLÉSHŰTÉS/SZELLŐZTETÉS","","https://www.hasznaltauto.hu/auto/kia/optima/kia_optima_1.7_crdi_ex_premium_dct_bemutatoauto-11669823","
						MAGYARORSZÁGI, BEMUTATÓAUTÓ, 7 ÉV VAGY 150.000 KM GARANCIA, EX PREMIUM + TECHNO csomag, ... (hirdetéskód: 11669823)
					"
"MERCEDES-BENZ A 180 d Style 7G-DCT Hibátlan Állapot!","7.490.000 Ft","? km-re  ·  2016/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 303 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_style_7g-dct_hibatlan_allapot-12079521","
						Eladó egy rendkívül gyönyörű állapotban lévő Mercedes-Benz A 180d. Az autó a kecskeméti... (hirdetéskód: 12079521)
					"
"MERCEDES-BENZ A 180 d Style 7G-DCT","7.490.000 Ft","? km-re  ·  2016/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  11 034 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_style_7g-dct-12079501","
						Eladó egy rendkívül gyönyörű állapotban lévő Mercedes-Benz A 180d. Az autó a kecskeméti... (hirdetéskód: 12079501)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT M.O.i . ÁFÁS . ISP !","7.490.000 Ft","? km-re  ·  2016/12  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  9 127 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_m.o.i_._afas_._isp-12083496","
						Érdeklődni: Herka Attila 20/9436923 A fenti tájékoztatás nem minősül a Polgári Törvényk... (hirdetéskód: 12083496)
					"
"MERCEDES-BENZ B 180 CDI Urban 7G-DCT","7.490.000 Ft","? km-re  ·  2015/11  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  24 000 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_urban_7g-dct-11869509","
						Eladó egy Mercedes-Benz B 180 CDI! Az autó gyönyörű szép barna külsejű. Mind esztétikai... (hirdetéskód: 11869509)
					"
